Muscles	PercentGaitCycle	VerySlowLB	VerySlowMean	VerySlowUB	SlowLB	SlowMean	SlowUB	FreeLB	FreeMean	FreeUB	FastLB	FastMean	FastUB	VeryFastLB	VeryFastMean	VeryFastUB
Rectus Femoris	0	0.0158	0.0909	0.1661	0.0418	0.1365	0.2311	0.0758	0.2187	0.3616	0.1505	0.3171	0.4837	0.1919	0.3514	0.5109
Rectus Femoris	2	0.0177	0.0974	0.1771	0.0527	0.1644	0.2761	0.0977	0.2662	0.4346	0.193	0.3798	0.5666	0.221	0.4013	0.5815
Rectus Femoris	4	0.0167	0.1021	0.1875	0.0593	0.1859	0.3126	0.1157	0.3081	0.5005	0.2282	0.4371	0.646	0.2422	0.4431	0.644
Rectus Femoris	6	0.0137	0.1027	0.1918	0.0572	0.1908	0.3245	0.1204	0.3209	0.5215	0.2413	0.461	0.6807	0.2486	0.4591	0.6696
Rectus Femoris	8	0.0115	0.0998	0.1881	0.0473	0.1806	0.3139	0.109	0.2974	0.4858	0.2258	0.4366	0.6475	0.2357	0.4392	0.6428
Rectus Femoris	10	0.0097	0.0978	0.186	0.0359	0.1612	0.2865	0.0861	0.2515	0.417	0.1855	0.3746	0.5637	0.2034	0.3885	0.5737
Rectus Femoris	12	0.005	0.0968	0.1886	0.0265	0.1405	0.2544	0.0597	0.2022	0.3448	0.1333	0.2994	0.4655	0.1582	0.3234	0.4886
Rectus Femoris	14	0.0002	0.0946	0.189	0.0201	0.1232	0.2263	0.0363	0.1605	0.2847	0.0859	0.231	0.3761	0.1114	0.261	0.4105
Rectus Femoris	16	-0.0044	0.0912	0.1868	0.0163	0.1093	0.2023	0.0191	0.1293	0.2395	0.0528	0.1786	0.3044	0.0729	0.2116	0.3503
Rectus Femoris	18	-0.0137	0.0879	0.1896	0.0119	0.0973	0.1826	0.0084	0.1075	0.2066	0.0325	0.1438	0.255	0.0463	0.178	0.3097
Rectus Femoris	20	-0.0166	0.0831	0.1828	0.0061	0.087	0.1679	0.003	0.0928	0.1827	0.0196	0.124	0.2284	0.0299	0.1584	0.2868
Rectus Femoris	22	-0.0127	0.0787	0.1701	-0.0007	0.0788	0.1583	-0.0003	0.0833	0.1669	0.011	0.115	0.2189	0.0205	0.1492	0.278
Rectus Femoris	24	-0.0142	0.0761	0.1664	-0.008	0.0728	0.1537	-0.0038	0.0776	0.1589	0.0058	0.1119	0.218	0.0159	0.1472	0.2786
Rectus Femoris	26	-0.0223	0.0743	0.1708	-0.0139	0.0685	0.1509	-0.0077	0.0742	0.1561	0.0026	0.1115	0.2204	0.0153	0.1502	0.2851
Rectus Femoris	28	-0.0271	0.0716	0.1703	-0.0187	0.065	0.1487	-0.0117	0.072	0.1557	0.0001	0.112	0.2239	0.0165	0.157	0.2976
Rectus Femoris	30	-0.0302	0.0704	0.1711	-0.0202	0.0617	0.1436	-0.0157	0.0705	0.1567	-0.0012	0.1128	0.2267	0.0161	0.167	0.3178
Rectus Femoris	32	-0.0326	0.0699	0.1724	-0.0192	0.0587	0.1365	-0.0187	0.0696	0.1579	-0.0007	0.1138	0.2282	0.0129	0.1787	0.3446
Rectus Femoris	34	-0.0321	0.0688	0.1697	-0.019	0.0565	0.132	-0.0194	0.0693	0.158	0.001	0.1151	0.2293	0.0087	0.1907	0.3726
Rectus Femoris	36	-0.0285	0.0667	0.1618	-0.0183	0.0553	0.129	-0.0181	0.0692	0.1564	0.0023	0.1172	0.2322	0.0065	0.2014	0.3963
Rectus Femoris	38	-0.0279	0.065	0.1578	-0.018	0.0547	0.1274	-0.0154	0.0692	0.1538	0.002	0.1205	0.2389	0.0078	0.2105	0.4132
Rectus Femoris	40	-0.0252	0.0628	0.1508	-0.0179	0.0548	0.1275	-0.0129	0.0702	0.1533	-0.0003	0.1251	0.2505	0.0111	0.2175	0.4239
Rectus Femoris	42	-0.0262	0.0606	0.1473	-0.0178	0.0555	0.1287	-0.0134	0.0731	0.1596	-0.0041	0.1305	0.2651	0.0147	0.2217	0.4286
Rectus Femoris	44	-0.0258	0.0589	0.1436	-0.0183	0.0564	0.131	-0.0176	0.0783	0.1741	-0.0061	0.1353	0.2767	0.0206	0.2227	0.4249
Rectus Femoris	46	-0.0175	0.0558	0.1291	-0.0189	0.0578	0.1344	-0.0226	0.0846	0.1918	-0.0029	0.1384	0.2798	0.0327	0.2227	0.4127
Rectus Femoris	48	-0.0134	0.0541	0.1216	-0.0197	0.0603	0.1403	-0.0241	0.0901	0.2043	0.0058	0.1413	0.2769	0.0536	0.2277	0.4018
Rectus Femoris	50	-0.0134	0.0553	0.1239	-0.021	0.064	0.149	-0.0187	0.094	0.2067	0.0194	0.1486	0.2778	0.0831	0.2468	0.4104
