Angles,,,PercentGaitCycle,VerySlowLB,VerySlowMean,VerySlowUB,SlowLB,SlowMean,SlowUB,FreeLB,FreeMean,FreeUB,FastLB,FastMean,FastUB,VeryFastLB,VeryFastMean,VeryFastUB
Trunk,Ant/Posterior,Tilt,0,12.9916,22.8282,32.6648,12.5457,22.3389,32.1321,11.9232,21.2762,30.6292,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,2,12.5444,22.435,32.3256,12.2356,22.0285,31.8213,11.7158,20.9885,30.2612,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,4,12.2124,22.1342,32.0561,12.1488,21.9491,31.7493,11.6225,20.8957,30.1689,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,6,11.9303,21.8478,31.7653,11.9901,21.7801,31.57,11.5699,20.8506,30.1313,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,8,11.6525,21.5462,31.44,11.8021,21.5479,31.2937,11.4704,20.7584,30.0463,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,10,11.5896,21.3614,31.1332,11.556,21.2626,30.9692,11.3944,20.6647,29.9349,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,12,11.3689,21.1011,30.8333,11.3171,20.9864,30.6558,11.4271,20.6315,29.836,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,14,11.2818,20.9652,30.6487,11.2115,20.861,30.5105,11.5506,20.7045,29.8584,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,16,11.2031,20.9021,30.6012,11.3223,20.944,30.5657,11.628,20.7887,29.9493,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,18,11.3368,21.0373,30.7378,11.6278,21.2346,30.8414,11.719,20.8884,30.0577,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,20,11.5102,21.2502,30.9901,11.9219,21.5283,31.1346,11.7581,20.9084,30.0587,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,22,11.7219,21.4989,31.276,12.1885,21.8085,31.4285,11.8147,20.9172,30.0197,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,24,11.9452,21.7554,31.5656,12.4323,22.0373,31.6423,11.8033,20.8535,29.9038,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,26,12.2097,22.0331,31.8565,12.6331,22.2268,31.8206,11.8897,20.881,29.8723,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,28,12.5309,22.3315,32.132,12.8522,22.4273,32.0024,12.0004,20.9593,29.9182,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,30,12.8096,22.5893,32.369,13.0209,22.5821,32.1433,12.1417,21.0854,30.0291,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,32,13.1039,22.8597,32.6154,13.1215,22.691,32.2605,12.2479,21.2072,30.1665,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,34,13.3764,23.1117,32.847,13.1308,22.7368,32.3429,12.3233,21.3073,30.2913,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,36,13.5901,23.3039,33.0177,13.1547,22.7811,32.4075,12.3352,21.3423,30.3495,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,38,13.742,23.471,33.2,13.0842,22.7475,32.4108,12.2703,21.3707,30.471,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,40,13.9494,23.6215,33.2936,13.0081,22.712,32.416,12.1376,21.3248,30.5119,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,42,13.9888,23.6827,33.3765,12.9764,22.7124,32.4483,12.1159,21.356,30.5961,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,44,13.9803,23.6713,33.3624,12.931,22.7173,32.5037,12.1698,21.4633,30.7567,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,46,13.9326,23.6179,33.3033,12.8586,22.6564,32.4543,12.2265,21.5477,30.8689,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,48,13.7316,23.4454,33.1591,12.8497,22.6171,32.3845,12.2439,21.596,30.9482,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,50,13.3354,23.0958,32.8562,12.6577,22.4124,32.1672,12.1551,21.4916,30.8281,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,52,12.8584,22.7271,32.5957,12.3299,22.128,31.9261,11.9686,21.2828,30.5971,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,54,12.7052,22.5167,32.3282,12.1429,21.9634,31.784,11.8638,21.161,30.4583,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,56,12.3465,22.1923,32.038,11.9478,21.7809,31.614,11.7686,21.0865,30.4045,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,58,12.0172,21.8668,31.7164,11.7419,21.5345,31.3271,11.7044,20.9982,30.292,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,60,11.7412,21.5594,31.3776,11.4773,21.2448,31.0124,11.6216,20.8932,30.1648,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,62,11.5397,21.294,31.0484,11.2636,20.9754,30.6871,11.5885,20.8358,30.0831,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,64,11.4022,21.1139,30.8256,11.1429,20.831,30.5192,11.649,20.8777,30.1065,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,66,11.33,21.0425,30.755,11.2101,20.9116,30.6131,11.7526,20.9934,30.2343,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,68,11.3718,21.101,30.8302,11.4531,21.1558,30.8585,11.8077,21.0591,30.3105,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,70,11.4907,21.2829,31.075,11.7347,21.4497,31.1648,11.8432,21.0788,30.3145,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,72,11.7057,21.5493,31.393,12.0073,21.7274,31.4474,11.8594,21.0762,30.2929,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,74,11.9684,21.8337,31.6991,12.2067,21.9217,31.6367,11.8788,21.0344,30.19,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,76,12.2709,22.1374,32.004,12.4271,22.1325,31.8379,12.0117,21.1065,30.2013,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,78,12.542,22.4243,32.3066,12.6349,22.3094,31.9839,12.1114,21.1767,30.2421,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,80,12.8564,22.7146,32.5729,12.8085,22.4696,32.1306,12.2359,21.2881,30.3403,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,82,13.1683,23.0045,32.8407,12.9707,22.6192,32.2677,12.377,21.411,30.4451,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
Trunk,Ant/Posterior,Tilt,84,13.4757,23.2724,33.069,13.0642,22.7171,32.37,12.4361,21.4707,30.5054,9.3872,19.0205,28.6537,6.4355,16.4005,26.3654
